Asset Name,Last Close,1M % Chg,YTD % Chg,52w Low,52w High,52w Range,Last 10 Days Return,Category
MSCI World,4570.5,1.9224894018897092,3.158051541784599,3254.24,4570.5,1316.2600000000002,"[-0.14, -0.41, -0.15, 0.39, -0.34, -0.4, -1.18, 1.73, 0.01, 0.91]",Market Indices
US Small Cap 2000,2687.76,3.22015737871126,8.294015496130012,1760.71,2718.77,958.06,"[0.26, -0.49, 0.05, -1.55, 1.02, 0.31, -0.9, -1.79, 3.6, 0.65]",Market Indices
CBOE Volatility Index,17.12,10.809061488673152,14.515050167224091,13.47,52.33,38.86,"[1.24, 0.0, 3.24, 3.32, -6.31, 10.16, 3.56, 16.79, -18.42, -3.6]",Market Indices
Dow Jones Industrial Average,50077.25,1.6464462081540423,4.190225013726691,37645.59,50115.67,12470.080000000002,"[-0.83, 0.02, 0.11, -0.36, 1.05, -0.34, 0.53, -1.2, 2.47, -0.08]",Market Indices
Bitcoin,70559.9,-22.531200010539994,-20.551478908842387,62857.9,124725.1,61867.200000000004,"[-6.54, -2.22, 2.27, -3.81, -3.42, -14.05, 12.25, -1.75, 1.48, 0.31]",Cryptocurrency
Litecoin,54.71,-32.69774880059048,-31.544044044044046,50.75,134.88,84.13,"[-9.06, -1.77, 2.6, -0.93, -0.97, -13.76, 8.42, 0.4, -1.31, 0.36]",Cryptocurrency
Ethereum,2130.49,-31.416329460695792,-29.08247841341065,1473.4,4831.21,3357.81,"[-9.51, -7.35, 3.36, -4.79, -3.85, -14.94, 12.95, 1.39, -0.07, 1.92]",Cryptocurrency
XRP,1.4442,-31.954391255182813,-23.13587737505988,1.2134,3.5515,2.3381,"[-5.03, -3.48, 1.84, -2.59, -4.22, -19.68, 21.11, -3.1, 0.45, 0.96]",Cryptocurrency
Dogecoin,0.09629,-32.17390079314766,-24.059717501202705,0.088329,0.289322,0.20099300000000003,"[-9.91, -0.12, 3.55, -1.79, -2.04, -14.89, 11.47, -0.18, -1.7, -0.34]",Cryptocurrency
XLU ETF,43.41,3.381757561324112,1.6865776528460972,36.54,46.45,9.910000000000004,"[1.31, -0.23, 0.0, -0.18, -1.46, 1.45, -0.37, 0.05, 0.58, 0.14]",ETFs - Sectors
XLB ETF,51.96,9.389473684210529,14.575523704520396,37.13,51.96,14.829999999999998,"[-0.1, -0.06, 0.1, -1.46, 0.77, 2.11, 2.35, -2.68, 2.0, 0.87]",ETFs - Sectors
XLP ETF,87.16,11.116777154513002,12.203913491246125,75.6,87.94,12.340000000000003,"[0.46, -1.01, -0.23, 1.68, 1.19, 1.62, 1.3, -0.08, 1.17, -0.89]",ETFs - Sectors
XLI ETF,173.73,8.466004869825811,11.99716348633315,116.42,173.73,57.30999999999999,"[0.41, -0.56, 1.05, -0.25, 1.26, 0.84, 0.27, -0.6, 2.86, 0.32]",ETFs - Sectors
