date,open,high,low,close,volume
2015-01-02,25.275,25.4,24.5,25.4,944850.0
2015-01-05,25.3875,25.425,25.0,25.35,313300.0
2015-01-06,25.2875,25.2875,23.5,23.599999999999998,12470000.0
2015-01-07,23.599999999999998,24.2375,23.599999999999998,23.7875,7390000.0
2015-01-08,24.45,24.4625,23.700000000000003,24.25,700080.0
2015-01-09,24.224999999999998,24.4375,23.8375,23.849999999999998,356300.0
2015-01-12,24.224999999999998,24.2875,23.575,23.575,450230.0
2015-01-13,23.599999999999998,24.1,23.35,23.5,1030000.0
2015-01-14,23.35,23.75,23.35,23.5,2700000.0
2015-01-15,23.424999999999997,23.9375,23.424999999999997,23.799999999999997,581780.0
2015-01-16,24.849999999999998,25.7,24.575,25.4,12940000.0
2015-01-19,25.5,25.7,25.275,25.65,702400.0
2015-01-20,25.637500000000003,25.637500000000003,25.0,25.25,545950.0
2015-01-21,25.0,25.299999999999997,24.4,24.4,742030.0
2015-01-22,24.65,24.900000000000002,24.0,24.0,1040000.0
2015-01-23,24.2,24.849999999999998,23.849999999999998,24.674999999999997,1740000.0
2015-01-26,24.75,25.212500000000002,24.6,24.925,8029999.999999999
2015-01-27,25.125,25.25,24.6,24.65,2610000.0
2015-01-28,25.1375,25.4,24.525000000000002,25.099999999999998,736130.0
2015-01-29,25.1375,26.0,24.900000000000002,25.45,5770000.0
2015-01-30,25.55,25.674999999999997,25.150000000000002,25.150000000000002,533650.0
2015-02-02,25.6,25.6,24.950000000000003,25.125,943300.0
2015-02-03,25.4875,25.575000000000003,24.75,25.35,673000.0
2015-02-04,24.75,25.4375,24.75,24.875,659630.0
2015-02-05,25.35,25.35,24.700000000000003,25.225,2000000.0
2015-02-06,24.875,25.299999999999997,24.875,25.275,754730.0
2015-02-09,25.025,25.125,24.6875,24.7625,536880.0
2015-02-10,25.0875,25.2,24.700000000000003,25.2,285880.0
2015-02-11,25.0,25.275,24.5125,25.0,279880.0
2015-02-12,24.5,24.8125,24.5,24.65,481100.0
2015-02-13,24.5,25.125,24.5,24.7625,868000.0
2015-02-16,25.2875,25.325000000000003,24.424999999999997,24.45,2560000.0
2015-02-17,24.625,24.625,24.1,24.2,1410000.0
2015-02-18,24.1,24.6625,24.012500000000003,24.3,721780.0
2015-02-20,24.5625,25.474999999999998,24.25,25.175,504430.0
2015-02-23,24.75,25.474999999999998,24.75,25.225,800250.0
2015-02-24,24.75,25.4,24.75,24.787499999999998,257230.00000000003
2015-02-25,25.3875,25.474999999999998,24.75,25.25,319030.0
2015-02-26,25.25,25.25,24.825,25.225,213930.0
2015-02-27,24.975,25.099999999999998,24.2,24.525000000000002,999600.0
2015-03-02,24.362499999999997,25.0,24.25,24.3375,575780.0
2015-03-03,24.9625,24.9625,23.912499999999998,24.162499999999998,1040000.0
2015-03-04,24.6875,25.025,24.4875,24.700000000000003,690380.0
2015-03-05,24.849999999999998,24.849999999999998,24.4625,24.537499999999998,394930.0
2015-03-06,24.700000000000003,25.0375,24.5,24.625,2410000.0
2015-03-09,25.075,25.075,24.224999999999998,24.224999999999998,1040000.0
2015-03-10,24.175,24.537499999999998,24.0,24.1,404030.0
2015-03-11,24.474999999999998,24.6875,24.049999999999997,24.049999999999997,869850.0
2015-03-12,24.224999999999998,24.725,24.049999999999997,24.35,448350.0
2015-03-13,24.7125,24.75,24.049999999999997,24.175,513080.00000000006
2015-03-16,24.2625,24.75,24.1,24.1,385730.0
2015-03-17,24.75,24.75,24.1,24.1,545400.0
2015-03-18,24.5,24.5,24.2625,24.2625,793600.0
2015-03-19,24.2875,24.75,24.15,24.4,2470000.0
2015-03-20,24.725,24.725,24.25,24.45,5540000.0
2015-03-23,24.849999999999998,25.7125,24.1375,24.7125,1900000.0
2015-03-24,24.9125,25.0,24.5,24.6875,142350.0
2015-03-25,24.6,24.925,24.5,24.75,237050.0
2015-03-26,24.5,24.65,24.025,24.025,498680.0
2015-03-27,24.537499999999998,24.8875,24.25,24.375,319980.0
2015-03-30,24.875,24.875,23.8625,23.8625,955830.0
2015-03-31,24.737499999999997,24.75,23.95,23.975,946830.0
2015-04-01,24.162499999999998,24.6,23.9875,24.25,963800.0
2015-04-02,23.900000000000002,24.2875,21.9875,23.525,2880000.0
2015-04-07,23.537499999999998,24.1,23.2125,24.0,1800000.0
2015-04-08,24.25,24.25,23.5,23.5625,640800.0
2015-04-09,23.5,24.6,23.5,24.5,1060000.0
2015-04-10,24.35,24.737499999999997,24.049999999999997,24.737499999999997,4690000.0
2015-04-13,24.65,25.0625,24.3,24.900000000000002,667800.0
2015-04-14,24.5,25.7,24.5,25.474999999999998,2170000.0
2015-04-15,26.275,27.200000000000003,26.275,26.95,20350000.0
2015-04-16,27.450000000000003,28.2,27.174999999999997,28.125,3270000.0
2015-04-17,28.025000000000002,28.3,27.5,28.1,2670000.0
2015-04-20,28.575,28.75,28.0,28.5,52910000.0
2015-04-21,28.4625,28.5625,27.599999999999998,28.125,1380000.0
2015-04-22,27.599999999999998,28.737499999999997,27.599999999999998,28.3,1970000.0
2015-04-23,27.75,28.5,27.75,28.325,642100.0
2015-04-24,28.75,29.15,28.4,29.15,1650000.0
2015-04-27,29.25,29.25,28.7875,29.175,1390000.0
2015-04-28,28.6125,29.25,28.25,29.15,623280.0
2015-04-29,29.025,29.2,28.4625,28.799999999999997,476530.0
2015-04-30,28.725,29.2,28.275000000000002,28.725,1030000.0
2015-05-01,29.2,29.2,28.25,28.575,443130.0
2015-05-05,29.175,29.474999999999998,28.6375,29.4,2030000.0
2015-05-06,29.5,29.625,29.125,29.4,2910000.0
2015-05-07,29.25,29.925,28.650000000000002,29.849999999999998,1380000.0
2015-05-08,30.0,31.025,29.849999999999998,30.775000000000002,7610000.0
2015-05-11,31.125,31.125,30.7,30.950000000000003,2080000.0
2015-05-12,31.075,31.099999999999998,30.525000000000002,30.975,2280000.0
2015-05-13,30.975,30.975,30.55,30.924999999999997,1070000.0
2015-05-14,30.950000000000003,31.225,30.8,30.975,3190000.0
2015-05-15,31.2125,32.075,30.5875,31.575000000000003,4750000.0
2015-05-18,31.037499999999998,31.7,31.0,31.549999999999997,1210000.0
2015-05-19,31.45,32.1,31.025,31.924999999999997,1050000.0
2015-05-20,31.9125,31.9125,31.0625,31.325,3540000.0
2015-05-21,31.525,31.75,31.4375,31.625,364980.0
2015-05-22,31.5,32.0,31.5,31.724999999999998,698580.0
2015-05-26,31.75,31.75,30.5375,31.45,1170000.0
2015-05-27,30.674999999999997,31.75,30.674999999999997,31.6,1370000.0
2015-05-28,31.675,31.95,31.225,31.75,686250.0
2015-05-29,32.0,32.75,31.6375,32.599999999999994,1160000.0
2015-06-01,32.3,32.875,32.1625,32.675,1040000.0
2015-06-02,32.675,32.8,32.5,32.7,555930.0
2015-06-03,32.0,32.8,32.0,32.5,1270000.0
2015-06-04,32.625,32.975,32.275,32.425000000000004,4400000.0
2015-06-05,32.975,32.975,32.35,32.65,470400.0
2015-06-08,32.95,32.95,32.375,32.5,611580.0
2015-06-09,32.5,32.5,31.875,32.125,275950.0
2015-06-11,33.0,34.5625,33.0,33.5,3490000.0
2015-06-12,33.5,33.675000000000004,32.85,33.675000000000004,1220000.0
2015-06-15,33.75,33.75,32.775,33.425,1300000.0
2015-06-16,33.725,33.725,33.375,33.5,2880000.0
2015-06-17,33.75,33.75,33.175,33.425,2370000.0
2015-06-18,33.475,33.475,33.15,33.275,1270000.0
2015-06-19,33.5,33.5,33.075,33.5,10140000.0
2015-06-22,33.5,33.975,32.825,33.5,3060000.0
2015-06-23,33.35,33.925,33.3,33.75,1410000.0
2015-06-24,34.0,35.15,33.224999999999994,35.15,4490000.0
2015-06-25,34.2,35.2,33.5,34.725,6480000.0
2015-06-26,34.6375,35.425,34.35,35.425,3140000.0
2015-06-29,34.300000000000004,35.525000000000006,34.0625,35.525000000000006,1680000.0
2015-06-30,34.65,35.525000000000006,34.65,35.35,4170000.0
2015-07-01,35.550000000000004,35.550000000000004,34.725,35.35,2700000.0
2015-07-02,35.4,35.5,35.1375,35.45,3840000.0
2015-07-03,35.6,35.6,35.275,35.5,50360000.0
2015-07-06,35.6,35.699999999999996,35.025,35.5,1950000.0
2015-07-07,35.75,35.75,35.325,35.425,4220000.0
2015-07-08,35.75,35.75,35.1125,35.6,1520000.0
2015-07-09,35.75,35.75,35.225,35.275,899600.0
2015-07-10,35.724999999999994,35.724999999999994,34.875,35.275,3560000.0
2015-07-13,35.575,35.575,35.3,35.5,2840000.0
2015-07-14,35.675,35.675,35.175,35.45,10330000.0
2015-07-15,35.724999999999994,35.724999999999994,35.45,35.65,1760000.0
2015-07-16,35.75,35.775,35.4,35.775,2350000.0
2015-07-17,35.4,36.2,35.4,36.0,6000000.0
2015-07-20,36.3,36.5,35.837500000000006,36.025,2550000.0
2015-07-21,36.5,36.5,35.9125,36.1,3230000.0
2015-07-22,35.875,36.5,35.875,36.25,713680.0
2015-07-23,35.925,36.5,35.925,36.150000000000006,553480.0
2015-07-24,35.925,36.3625,35.825,35.9,10800000.0
2015-07-27,36.75,36.75,35.825,36.2,937400.0
2015-07-28,35.875,36.575,35.875,36.0,8500000.0
2015-07-29,36.75,36.75,35.85,36.375,4200000.0
2015-07-31,38.775,40.775,38.775,40.25,72510000.0
2015-08-03,40.975,40.975,40.35,40.85,5180000.0
2015-08-04,41.1,41.25,40.287499999999994,41.075,30210000.0
2015-08-05,41.2,41.725,40.824999999999996,41.725,7780000.0
2015-08-06,41.7,42.45,41.475,42.175000000000004,9040000.0
2015-08-07,42.400000000000006,42.425,41.9625,42.175000000000004,3070000.0
2015-08-10,42.45,43.05,42.3625,43.05,2990000.0
2015-08-11,43.0,43.425000000000004,42.85,43.35,3280000.0
2015-08-12,42.275,43.099999999999994,42.025,42.55,1680000.0
2015-08-13,42.575,44.037499999999994,42.575,43.675,4260000.0
2015-08-14,43.25,43.875,43.224999999999994,43.3,2780000.0
2015-08-17,43.575,43.650000000000006,43.3,43.475,1570000.0
2015-08-18,43.075,44.0,43.075,43.75,4680000.0
2015-08-19,43.925,43.925,43.150000000000006,43.7,1050000.0
2015-08-20,43.375,44.25,43.2875,43.375,1690000.0
2015-08-21,43.025000000000006,43.0875,41.224999999999994,41.7,3150000.0
2015-08-24,40.75,41.1,40.05,40.275,4700000.0
2015-08-25,40.824999999999996,42.275,40.15,42.275,3500000.0
2015-08-26,41.675000000000004,42.699999999999996,41.4,42.1,1730000.0
2015-08-27,42.5,44.362500000000004,42.325,43.8,3580000.0
2015-08-28,44.1,44.25,43.237500000000004,43.8,3050000.0
2015-09-01,43.9,44.1,43.525,43.724999999999994,2130000.0
2015-09-02,43.9,43.9,43.099999999999994,43.099999999999994,1780000.0
2015-09-03,43.3,43.6,43.1875,43.575,3210000.0
2015-09-04,44.0,44.0,43.05,43.650000000000006,5530000.0
2015-09-07,43.625,43.975,43.324999999999996,43.375,1170000.0
